ACTOR_SECURITY	${stringTableActorSecurityTitle}
CLIMATECONTROL_VENT_DRIVE	${stringTableClimateControlVentDriveTitle}
CLIMATECONTROL_VENT_DRIVE|ERROR=ADJUSTING_RANGE_TO_SMALL	${stringTableClimateControlVentDriveErrorAdjRangeToSmall}
CLIMATECONTROL_VENT_DRIVE|ERROR=LOWBAT	${stringTableClimateControlVentDriveErrorLowBat}
CLIMATECONTROL_VENT_DRIVE|ERROR=VALVE_DRIVE_BLOCKED	${stringTableClimateControlVentDriveErrorValveDriveBlocked}
CLIMATECONTROL_VENT_DRIVE|ERROR=VALVE_DRIVE_LOOSE	${stringTableClimateControlVentDriveErrorValveDriveLoose}
CLIMATECONTROL_VENT_DRIVE|VALVE_ERROR_POSITION	${stringTableClimateControlVentDriveValveErrorPos}
CLIMATECONTROL_VENT_DRIVE|VALVE_OFFSET_VALUE	${stringTableClimateControlVentDriveValveOffsetVal}
CLIMATECONTROL_VENT_DRIVE|VALVE_STATE	${stringTableClimateControlVentDriveValveState}

CLIMATECONTROL_RT_RECEIVER	${stringTableClimateControlRTReceiver}
CLIMATECONTROL_RT_TRANSCEIVER	${stringTableClimateControlRTTransceiver}
CLIMATECONTROL_RT_TRANSCEIVER|FAULT_REPORTING=NO_FAULT	${stringTableClimateControlRTTransceiverNoFault}
CLIMATECONTROL_RT_TRANSCEIVER|FAULT_REPORTING=VALVE_TIGHT	${stringTableClimateControlRTTransceiverValveTight}
CLIMATECONTROL_RT_TRANSCEIVER|FAULT_REPORTING=ADJUSTING_RANGE_TOO_LARGE	${stringTableClimateControlRTTransceiverAdjustingRangeTooLarge}
CLIMATECONTROL_RT_TRANSCEIVER|FAULT_REPORTING=ADJUSTING_RANGE_TOO_SMALL	${stringTableClimateControlRTTransceiverAdjustingRangeTooSmall}
CLIMATECONTROL_RT_TRANSCEIVER|FAULT_REPORTING=COMMUNICATION_ERROR	${stringTableClimateControlRTTransceiverCommunicationError}
CLIMATECONTROL_RT_TRANSCEIVER|FAULT_REPORTING=LOWBAT	${stringTableClimateControlRTTransceiverLowBat}
CLIMATECONTROL_RT_TRANSCEIVER|FAULT_REPORTING=VALVE_ERROR_POSITION	${stringTableClimateControlRTTransceiverValveErrorPosition}


CONDITION_CURRENT	${stringTableConditionCurrentTitle}
CONDITION_FREQUENCY	${stringTableConditionFrequencyTitle}
CONDITION_POWER	${stringTableConditionPowerTitle}
CONDITION_VOLTAGE	${stringTableConditionVoltageTitle}

DECISION_VALUE	${stringTableConditionValue}

COND_TX_CYCLIC_ABOVE	${stringTableCondTxCyclicAbove}
COND_TX_CYCLIC_Below	${stringTableCondTxCyclicBelow}
COND_TX_DECISION_ABOVE	${stringTableCondTxDecisionAbove}
COND_TX_DECISION_BELOW	${stringTableCondTxDecisionBelow}
COND_TX_FALLING	${stringTableCondTxFalling}
COND_TX_RISING	${stringTableCondTxRising}
COND_TX_THRESHOLD_HI_POWER	${stringTableCondThresholdHiPower}
COND_TX_THRESHOLD_LO_POWER	${stringTableCondThresholdLoPower}

COMPATIBILITY_MODE	${stringTableCompatibilityMode}
CONF_BUTTON_TIME	${stringTableConfButtonTime}
CONF_BUTTON_TIME=PERMANENT	${stringTableConfButtonTimePermanent}
CYCLIC_INFO_MSG	${stringTableCyclicInfoMsg}
CYCLIC_INFO_MSG_DIS	${stringTableCyclicInfoMsgDis}
CYCLIC_INFO_MSG_PAUSE	${stringTableCyclicInfoMsgPause}
DDC|STATE	${stringTableDDCState}
DEV_RPT_CNT_MAX	${stringTableDevRptCntMax}
DEVICE_LED_MODE	${stringTableDeviceLEDMode}
DEVICE_LED_MODE=OFF	${stringTableDeviceLEDModeOff}
DEVICE_LED_MODE=ON	${stringTableDeviceLEDModeOn}
DIGITAL_ANALOG_INPUT|BEHAVIOUR	${stringTableDigitalAnalogInputBehaviour}
DIGITAL_ANALOG_INPUT|STATE=FALSE	${stringTableDigitalAnalogInputStateFalse}
DIGITAL_ANALOG_INPUT|STATE=TRUE	${stringTableDigitalAnalogInputStateTrue}
DIGITAL_ANALOG_INPUT|VALUE	${stringTableDigitalAnalogInputValue}
DIGITAL_ANALOG_INPUT|CALIBRATION	${stringTableDigitalAnalogInputCalibration}
DIGITAL_ANALOG_OUTPUT|BEHAVIOUR	${stringTableDigitalAnalogOutputBehaviour}
DIGITAL_ANALOG_OUTPUT|FREQUENCY	${stringTableDigitalAnalogOutputFrequency}
DIGITAL_ANALOG_OUTPUT|STATE=FALSE	${stringTableDigitalAnalogOutputStateFalse}
DIGITAL_ANALOG_OUTPUT|STATE=TRUE	${stringTableDigitalAnalogOutputStateTrue}
DIGITAL_ANALOG_OUTPUT|PULSETIME	${stringTableDigitalAnalogOutputPulseTime}
DIGITAL_INPUT	${stringTableDigitalInput}
DIGITAL_INPUT|BEHAVIOUR	${stringTableDigitalInputBehaviour}
DIGITAL_INPUT|FREQUENCY	${stringTableDigitalInputFrequency}
DIGITAL_INPUT|STATE=FALSE	${stringTableDigitalInputStateFalse}
DIGITAL_INPUT|STATE=TRUE	${stringTableDigitalInputStateTrue}
DIGITAL_OUTPUT	${stringTableDigitalOutput}
DIGITAL_OUTPUT|STATE=FALSE	${stringTableDigitalOutputStateFalse}
DIGITAL_OUTPUT|STATE=TRUE	${stringTableDigitalOutputStateTrue}
DIMMER	${stringTableDimmerTitle}
DIMMER|CHARACTERISTIC	${stringTableDimmerCharacteristic}
DIMMER|ERROR=LOAD_FAILURE	${stringTableDimmerErrorLoad}
DIMMER|FUSE_DELAY	${stringTableDimmerFuseDelay}
DIMMER|LEVEL	${stringTableDimmerLevel}
LEVEL_REAL	${stringTableDimmerLevelReal}
DIMMER|LOAD_ERROR_CALIB	${stringTableDimmerLoadErrorCal}
DIMMER|LOAD_APPEAR_BEHAVIOUR	${stringTableDimmerLoadAppearBehaviour}
DIMMER|LOGIC_COMBINATION	${stringTableDimmerLogicCombination}
DIMMER|OLD_LEVEL	${stringTableDimmerOldLevel}
DIMMER|ON_TIME	${stringTableDimmerOnTime}
DIMMER|OVERTEMP_LEVEL	${stringTableDimmerOverTempLevel}
DIMMER|POWERUP_ACTION	${stringTableDimmerPowerUpAction}
DIMMER|RAMP_TIME	${stringTableDimmerRampTime}
DIMMER|RAMP_STOP	${stringTableDimmerRampStop}
DIMMER|REDUCE_LEVEL	${stringTableDimmerReduceLevel}
DIMMER|REDUCE_TEMP_LEVEL	${stringTableDimmerReduceTempLevel}
DIMMER|STATUSINFO_MINDELAY	${stringTableDimmerStatusInfoMinDelay}
DIMMER|ERROR_OVERLOAD	${stringTableDimmerErrorOverload}
DIMMER|ERROR_OVERHEAT	${stringTableDimmerErrorOverheat}
DIMMER|STATUSINFO_RANDOM	${stringTableStatusInfoRandom}
DIMMER|ERROR_REDUCED	${stringTableDimmerErrorReduced}
DISPLAY|ALARM_COUNT	${stringTableDisplayAlarmCount}
DISPLAY|ARROW_DOWN	${stringTableDisplayArrowDown}
DISPLAY|ARROW_UP	${stringTableDisplayArrowUp}
DISPLAY_BACKLIGHT_MODE	${stringTableDisplayBacklightMode}
DISPLAY_BACKLIGHT_MODE=AUTO	${stringTableDisplayBacklightModeAuto}
DISPLAY_BACKLIGHT_MODE=OFF	${stringTableDisplayBacklightModeOff}
DISPLAY_BACKLIGHT_MODE=ON	${stringTableDisplayBacklightModeOn}
DISPLAY|BACKLIGHT	${stringTableDisplayBacklight}
DISPLAY_BACKLIGHT_TIME	${stringTableDisplayBacklightTime}
DISPLAY|BACKLIGHT=BLINK_FAST	${stringTableDisplayBacklightBlinkFast}
DISPLAY|BACKLIGHT=BLINK_SLOW	${stringTableDisplayBacklightBlinkSlow}
DISPLAY|BACKLIGHT=OFF	${stringTableDisplayBacklightOff}
DISPLAY|BACKLIGHT=ON	${stringTableDisplayBacklightOn}
DISPLAY|BACKLIGHT_AT_ALARM	${stringTableDisplayBacklightAtAlarm}
DISPLAY|BACKLIGHT_AT_ALARM=BLINK_FAST	${stringTableDisplayBacklightAtAlarmBlinkFast}
DISPLAY|BACKLIGHT_AT_ALARM=BLINK_SLOW	${stringTableDisplayBacklightAtAlarmBlinkSlow}
DISPLAY|BACKLIGHT_AT_ALARM=OFF	${stringTableDisplayBacklightAtAlarmOff}
DISPLAY|BACKLIGHT_AT_ALARM=ON	${stringTableDisplayBacklightAtAlarmOn}
DISPLAY|BACKLIGHT_AT_SERVICE	${stringTableDisplayBacklightAtService}
DISPLAY|BACKLIGHT_AT_SERVICE=BLINK_FAST	${stringTableDisplayBacklightAtServiceBlinkFast}
DISPLAY|BACKLIGHT_AT_SERVICE=BLINK_SLOW	${stringTableDisplayBacklightAtServiceBlinkSlow}
DISPLAY|BACKLIGHT_AT_SERVICE=OFF	${stringTableDisplayBacklightAtServiceOff}
DISPLAY|BACKLIGHT_AT_SERVICE=ON	${stringTableDisplayBacklightAtServiceOn}
DISPLAY|BACKLIGHT_AT_STATUS	${stringTableDisplayBacklightAtState}
DISPLAY|BACKLIGHT_AT_STATUS=BLINK_FAST	${stringTableDisplayBacklightAtStateBlinkFast}
DISPLAY|BACKLIGHT_AT_STATUS=BLINK_SLOW	${stringTableDisplayBacklightAtStateBlinkSlow}
DISPLAY|BACKLIGHT_AT_STATUS=OFF	${stringTableDisplayBacklightAtStateOff}
DISPLAY|BACKLIGHT_AT_STATUS=ON	${stringTableDisplayBacklightAtStateOn}
DISPLAY|BEEP=NONE	${stringTableDisplayBeepNone}
DISPLAY|BEEP=TONE1	${stringTableDisplayBeepTone1}
DISPLAY|BEEP=TONE2	${stringTableDisplayBeepTone2}
DISPLAY|BEEP=TONE3	${stringTableDisplayBeepTone3}
DISPLAY|BEEP_AT_ALARM	${stringTableDisplayBeepAtAlarm}
DISPLAY|BEEP_AT_ALARM=NONE	${stringTableDisplayBeepAtAlarmNone}
DISPLAY|BEEP_AT_ALARM=TONE1	${stringTableDisplayBeepAtAlarmTone1}
DISPLAY|BEEP_AT_ALARM=TONE2	${stringTableDisplayBeepAtAlarmTone2}
DISPLAY|BEEP_AT_ALARM=TONE3	${stringTableDisplayBeepAtAlarmTone3}
DISPLAY|BEEP_AT_SERVICE	${stringTableDisplayBeepAtService}
DISPLAY|BEEP_AT_SERVICE=NONE	${stringTableDisplayBeepAtServiceNone}
DISPLAY|BEEP_AT_SERVICE=TONE1	${stringTableDisplayBeepAtServiceTone1}
DISPLAY|BEEP_AT_SERVICE=TONE2	${stringTableDisplayBeepAtServiceTone2}
DISPLAY|BEEP_AT_SERVICE=TONE3	${stringTableDisplayBeepAtServiceTone3}
DISPLAY|BEEP_AT_STATUSINFO	${stringTableDisplayBeepAtStatusInfo}
DISPLAY|BEEP_AT_STATUSINFO=NONE	${stringTableDisplayBeepAtStatusInfoNone}
DISPLAY|BEEP_AT_STATUSINFO=TONE1	${stringTableDisplayBeepAtStatusInfoTone1}
DISPLAY|BEEP_AT_STATUSINFO=TONE2	${stringTableDisplayBeepAtStatusInfoTone2}
DISPLAY|BEEP_AT_STATUSINFO=TONE3	${stringTableDisplayBeepAtStatusInfoTone3}
DISPLAY|BELL	${stringTableDisplayBell}
DISPLAY|BLIND	${stringTableDisplayBlind}
DISPLAY|BULB	${stringTableDisplayBulb}
DISPLAY|CLOCK	${stringTableDisplayClock}
DISPLAY|DOOR	${stringTableDisplayDoor}
DISPLAY|PHONE	${stringTableDisplayPhone}
DISPLAY|SCENE	${stringTableDisplayScene}
DISPLAY|MESSAGE_SHOW_TIME	${stringTableDisplayMessageShowTime}
DISPLAY|MESSAGE_SHOW_TIME=PERMANENT	${stringTableDisplayMessageShowTimePermanent}
DISPLAY|SERVICE_COUNT	${stringTableDisplayServiceCount}
DISPLAY|SUBMIT	${stringTableDisplaySubmit}
DISPLAY|SWITCH	${stringTableDisplaySwitch}
DISPLAY|TEXT	${stringTableDisplayText}
DISPLAY|WINDOW	${stringTableDisplayWindow}
DISPLAY|UNIT=CELSIUS	${stringTableDisplayUnitCelsius}
DISPLAY|UNIT=FAHRENHEIT	${stringTableDisplayUnitFahrenheit}
DISPLAY|UNIT=NONE	${stringTableDisplayUnitNone}
DISPLAY|UNIT=PERCENT	${stringTableDisplayUnitPercent}
DISPLAY|UNIT=WATT	${stringTableDisplayUnitWatt}
DISPLAY_ENERGYOPTIONS	${stringTableDisplayEnergyOptions}
DISPLAY_BRIGHTNESS	${stringTableDisplayBrightness}
ERROR	${stringTableError}
ERROR_BATTERY=TRUE	${stringTableBatteryOk}
